145,146,148,147
149,145,147,150
151,149,150,152
153,151,152,154
155,153,154,156
157,155,156,158
159,157,158,160
161,159,160,162
147,148,236,235
150,147,235,237
152,150,237,238
154,152,238,239
156,154,239,240
158,156,240,241
160,158,241,242
162,160,242,243
235,236,317,316
237,235,316,318
238,237,318,319
239,238,319,320
240,239,320,321
241,240,321,322
242,241,322,323
243,242,323,324
316,317,398,397
318,316,397,399
319,318,399,400
320,319,400,401
321,320,401,402
322,321,402,403
323,322,403,404
324,323,404,405
397,398,479,478
399,397,478,480
400,399,480,481
401,400,481,482
402,401,482,483
403,402,483,484
404,403,484,485
405,404,485,486
478,479,560,559
480,478,559,561
481,480,561,562
482,481,562,563
483,482,563,564
484,483,564,565
485,484,565,566
486,485,566,567
559,560,641,640
561,559,640,642
562,561,642,643
563,562,643,644
564,563,644,645
565,564,645,646
566,565,646,647
567,566,647,648
640,641,722,721
642,640,721,723
643,642,723,724
644,643,724,725
645,644,725,726
646,645,726,727
647,646,727,728
648,647,728,729
858,161,162,859
860,858,859,861
862,860,861,863
864,862,863,865
866,864,865,867
868,866,867,869
870,868,869,871
872,870,871,873
859,162,243,938
861,859,938,939
863,861,939,940
865,863,940,941
867,865,941,942
869,867,942,943
871,869,943,944
873,871,944,945
938,243,324,1010
939,938,1010,1011
940,939,1011,1012
941,940,1012,1013
942,941,1013,1014
943,942,1014,1015
944,943,1015,1016
945,944,1016,1017
1010,324,405,1082
1011,1010,1082,1083
1012,1011,1083,1084
1013,1012,1084,1085
1014,1013,1085,1086
1015,1014,1086,1087
1016,1015,1087,1088
1017,1016,1088,1089
1082,405,486,1154
1083,1082,1154,1155
1084,1083,1155,1156
1085,1084,1156,1157
1086,1085,1157,1158
1087,1086,1158,1159
1088,1087,1159,1160
1089,1088,1160,1161
1154,486,567,1226
1155,1154,1226,1227
1156,1155,1227,1228
1157,1156,1228,1229
1158,1157,1229,1230
1159,1158,1230,1231
1160,1159,1231,1232
1161,1160,1232,1233
1226,567,648,1298
1227,1226,1298,1299
1228,1227,1299,1300
1229,1228,1300,1301
1230,1229,1301,1302
1231,1230,1302,1303
1232,1231,1303,1304
1233,1232,1304,1305
1298,648,729,1370
1299,1298,1370,1371
1300,1299,1371,1372
1301,1300,1372,1373
1302,1301,1373,1374
1303,1302,1374,1375
1304,1303,1375,1376
1305,1304,1376,1377
1506,872,873,1507
1508,1506,1507,1509
1510,1508,1509,1511
1512,1510,1511,1513
1514,1512,1513,1515
1516,1514,1515,1517
1518,1516,1517,1519
1520,1518,1519,1521
1507,873,945,1586
1509,1507,1586,1587
1511,1509,1587,1588
1513,1511,1588,1589
1515,1513,1589,1590
1517,1515,1590,1591
1519,1517,1591,1592
1521,1519,1592,1593
1586,945,1017,1658
1587,1586,1658,1659
1588,1587,1659,1660
1589,1588,1660,1661
1590,1589,1661,1662
1591,1590,1662,1663
1592,1591,1663,1664
1593,1592,1664,1665
1658,1017,1089,1730
1659,1658,1730,1731
1660,1659,1731,1732
1661,1660,1732,1733
1662,1661,1733,1734
1663,1662,1734,1735
1664,1663,1735,1736
1665,1664,1736,1737
1730,1089,1161,1802
1731,1730,1802,1803
1732,1731,1803,1804
1733,1732,1804,1805
1734,1733,1805,1806
1735,1734,1806,1807
1736,1735,1807,1808
1737,1736,1808,1809
1802,1161,1233,1874
1803,1802,1874,1875
1804,1803,1875,1876
1805,1804,1876,1877
1806,1805,1877,1878
1807,1806,1878,1879
1808,1807,1879,1880
1809,1808,1880,1881
1874,1233,1305,1946
1875,1874,1946,1947
1876,1875,1947,1948
1877,1876,1948,1949
1878,1877,1949,1950
1879,1878,1950,1951
1880,1879,1951,1952
1881,1880,1952,1953
1946,1305,1377,2018
1947,1946,2018,2019
1948,1947,2019,2020
1949,1948,2020,2021
1950,1949,2021,2022
1951,1950,2022,2023
1952,1951,2023,2024
1953,1952,2024,2025
146,145,2547,2546
145,149,2556,2547
149,151,2565,2556
151,153,2574,2565
153,155,2583,2574
155,157,2592,2583
157,159,2601,2592
159,161,2610,2601
2546,2547,2628,2627
2547,2556,2637,2628
2556,2565,2646,2637
2565,2574,2655,2646
2574,2583,2664,2655
2583,2592,2673,2664
2592,2601,2682,2673
2601,2610,2691,2682
2627,2628,2709,2708
2628,2637,2718,2709
2637,2646,2727,2718
2646,2655,2736,2727
2655,2664,2745,2736
2664,2673,2754,2745
2673,2682,2763,2754
2682,2691,2772,2763
2708,2709,2790,2789
2709,2718,2799,2790
2718,2727,2808,2799
2727,2736,2817,2808
2736,2745,2826,2817
2745,2754,2835,2826
2754,2763,2844,2835
2763,2772,2853,2844
2789,2790,2871,2870
2790,2799,2880,2871
2799,2808,2889,2880
2808,2817,2898,2889
2817,2826,2907,2898
2826,2835,2916,2907
2835,2844,2925,2916
2844,2853,2934,2925
2870,2871,2952,2951
2871,2880,2961,2952
2880,2889,2970,2961
2889,2898,2979,2970
2898,2907,2988,2979
2907,2916,2997,2988
2916,2925,3006,2997
2925,2934,3015,3006
2951,2952,3033,3032
2952,2961,3042,3033
2961,2970,3051,3042
2970,2979,3060,3051
2979,2988,3069,3060
2988,2997,3078,3069
2997,3006,3087,3078
3006,3015,3096,3087
3032,3033,3114,3113
3033,3042,3123,3114
3042,3051,3132,3123
3051,3060,3141,3132
3060,3069,3150,3141
3069,3078,3159,3150
3078,3087,3168,3159
3087,3096,3177,3168
161,858,3186,2610
858,860,3195,3186
